EmpID ;EMPRESA;RESPONSÁVEL;PROGRESSO;OBSERVAÇÕES;STATUS
60;COMERCIO E TRANSPORTE KASSIO LTDA-Matriz  [0001-11];Bianca;94.44%;Feita reunião para alinhar os proximos meses. Tadeu deve nos passar o que fazer para acertar o caixa negativo;Pendencia Tadeu/Bianca/Helena
181;RODAIR TRATORES E IMPLEMENTOS AGRICOLAS LTDA-Matriz  [0001-04];Bianca;94.44%;"- Pendências 98 solicitadas 08/2025 e 09/2025 - 04/09/2025 - Helena vai falar com ela - 18/09/2025 - Sem retorno, cobrado novamente - 14/10/2025
- Solicitei novamente extrato de consórcios para ajustar corretamente - 24/07/2025 - 15/08/2025 - 14/10/2025

DIGITAÇÃO BIANCA OK";Conferida/Pendencia Cliente
389;POSTO VENETO LTDA-Matriz  [0001-80];Bianca;100.00%;OK;OK
472;SANTA CATARINA PAPEIS LTDA-Matriz  [0001-88];Fernando;94.44%;** Empresa Conferida, algumas anotações e contas que ainda precisam ser alinhadas e melhoradas. (Fernando esta verificando);Pendencia Tadeu/Fernando/Helena
564;BRAND E RINALDI TRANSPORTES LTDA-Matriz  [0001-04];Bianca;94.44%;Feita reunião para alinhar os proximos meses. Tadeu deve nos passar o que fazer para acertar o caixa negativo;Pendencia Tadeu/Bianca/Helena
565;SEIVA AGROPECUARIA LTDA-Matriz  [0001-53];Bianca;94.44%;"- Pedi para a Tania solicitar contrato do BNDES Bradesco, cfme cliente - 29/08/2025 -  Pedi novamente, pois as informações não fecham - 10/10/2025


- Demais ok
Digitação Bianca";Conferida/Pendencia Cliente
582;SUPERMERCADO MANICA LTDA-Matriz  [0001-97];Fernando;94.44%;** Balancete conferido até 09/2025, Caixa negativo será conversado com o Tadeu e feito uma ação.;Pendencia Tadeu/Fernando/Helena
707;COOPERATIVA DE PEQUENOS AGRICULTORES DE VIDEIRA E IOMERE - COPAVIDI-Matriz  [0001-04];Fernando - Helena;94.44%;"** Empresa COnferida até 09/2025, aguardando para falar com Tadeu sobre algumas contas destacadas no Balancete na pasta de conferencia.

*Digitação OK - Larissa";Pendencia Tadeu/Fernando/Helena
725;JUMUPEL PAPEIS E EMBALAGENS LTDA-Matriz  [0001-73];Fernando;94.44%;** Empresa conferida até 09/2025. Caixa negativo, enviado relatórios para Fran. Ver com Tadeu o que fazer para acertar o caixa ;Pendencia Tadeu/Fernando/Helena
737;TANPET EMBALAGENS LTDA-Matriz  [0001-38];Fernando;94.44%;"** Balancete conferido até 09/2025, Caixa negativo, relatórios de clientes e fornecedores, contas de Adiantamentos, enviados para a Fabiola cfe ela solicitou, Tadeu autoizou o envio desses relatórios.


* Digitação OK - Larissa";Pendencia Tadeu/Fernando/Helena
764;COMERCIO BG LTDA-Matriz  [0001-24];Bianca;94.44%;"- Tem lançamentos na 98 04/2025-08/2025 - Isa vai unificar as pendências e enviar novamente para o Douglas em 21/10/2025
- verificar a possibilidade de nos enviarem o extrato dos consórcios Banrisul, Sicoob e Ademicon para ajustar os saldos da conta 595
- Cfme Tadeu, é para baixar a depreciação da conta de maquinas e equipamentos para compensar a venda do caminhão do mês 05/2025 - Fernando vai ver com Helena.



Digitação Isadora";Conferida/Pendencia Cliente
807;SUPERMERCADO SUPER CENTER TANGARA LTDA-Matriz  [0001-27];Bianca;94.44%;"- Passei para Mari sobre os créditos de pis e cofins ref, 07/2025 que não foram utilizados na apuração 08/2025 , ela vai verificar - 11/09/2025

Digitação Bianca Ok";Pendencia Tadeu/Fernando/Helena
869;POSTO MZ TANGARA LTDA-Matriz  [0001-01];Fernando;94.44%;Empresa conferida até 09/2025, caixa negativo, relatórios enviado para Adriana ;Conferida/Pendencia Cliente
902;CLICHERIA E FACARIA TANGARA LTDA-Matriz  [0001-30];Bianca;94.44%;"- Falta extrato CC e conta capital sicoob 01/2025 a 09/2025 - Cfme Tadeu, não é mais para cobrar - 06/09/2025.
- Demais ok
Digitação OK - Larissa";Conferida/Pendencia Cliente
952;FRUTAS ANDRES LTDA-Matriz  [0001-89];Bianca;100.00%;OK;OK
553;COOPERATIVA DOS TRANSPORTADORES DE CARGA DA REGIAO DE TANGARA - COOTRATAN-Matriz  [0001-92];Fernando - Helena;83.33%;Empresa conferida até 09/2025, lançado os relatórios do jeito que recebemos, (Glicia tem resistencia em mudar o processo, Jaison te conhecimento, Tadeu tem conhecimento);Pendencia Tadeu/Fernando/Helena
838;AGUIPEL PAPEIS E EMBALAGENS LTDA-Matriz  [0001-60];Fernando;77.78%;"** Estava fezendo a conferecia e fiscal comentou que ia mudar saldos desde 03/2025, ent~sao ainda não finalizei a conferência.

Digitação Isadora";Conferida/Pendencia Fernandi/Fiscal
980;BG ATACADISTA LTDA-Matriz  [0001-08];Fernando;50.00%;Sem movimento;S/M
666;GRANJA MONTE CARVALHO LTDA-Matriz  [0001-90];Bianca;11.11%;Sem movimento;S/M
955;MHJ TRANSPORTES LTDA-Matriz  [0001-13];Bianca;11.11%;Não é feito nada;S/M
989;MAPALOG LTDA-Matriz  [0001-63];Bianca;11.11%;Não é feito nada;S/M
778;ELETROLOGIX AUTOMAÇÃO E ENGENHARIA LTDA-Matriz  [0001-31];Bianca;11.11%;Contabit - não foi feito nada ;?
192;VINICOLA PANCERI LTDA-Matriz  [0001-17];Bianca;0.00%;"- Conforme visto com Tadeu, fechar o mês 09/2025 e levantar as informações que precisam ser ajustadas.  06/10/2025
* Caixa, clientes, fornecedores, adiantamento de clientes e outras obrigações (5757 ajuste panceri) - Balancete*

- Demais ok
- Digitação Bianca";Pendencia Tadeu/Bianca/Helena
748;MECANICA E AUTOPECAS TANGARA DIESEL LTDA - Matriz  [0001-09];Bianca;0.00%;Não é feito nada;S/M
44;NEXUS TRANSPORTADORA LTDA-Matriz  [0001-12];Fernando;100.00%;OK - fechado com cliente;OK
180;VALDEMIR BERTE - Matriz  [0001-20];Helena Coelho do Rosario;100.00%;OK - fechado com cliente;OK
339;PAPEL TANGARA LTDA-Matriz  [0001-58];Helena Coelho do Rosario;100.00%;OK - fechado com cliente;OK
417;MUNDIAL TEXTIL LTDA-Matriz  [0001-63];Bianca;100.00%;"OBSERVAÇÕES IMPORTANTES:
- Relatórios clientes, cartões e demais situações - Tadeu irá falar com o cliente para alinhar - 07/10/2025
Demais ok

Digitação Isadora/Bianca ";Pendencia Tadeu/Bianca/Helena
422;CONDUPLAST LTDA-Matriz  [0001-58];Helena Coelho do Rosario;100.00%;OK - fechado com cliente;OK
536;COOPERATIVA AGROPECUARIA TANGARA - COOTAN-Matriz  [0001-30];Fernando - Helena;100.00%;OK - fechado com cliente;OK
