Nº;EMPRESA;TRIBUTAÇÃO;CONTABIL;COMPETENCIA;DATA CONCLUSÃO;OBSERVAÇÕES;QUEM CONFERIU;COLABORADOR
949;AGUA MINERAL REGENERADORA LTDA;SIMPLES;SEM MOVIMENTO;06 - JUNHO;2025-07-22 00:00:00;;PABLO;;
794;ANDERSON CRISTIANO NARDI SOCIEDADE INDIVIDUAL DE ADVOCACIA;SIMPLES;MOVIMENTO MENSAL;05 - MAIO;2025-07-22 00:00:00;AGUARDANDO EXTRATO DO MÊS 06/2025;PABLO;;
575;ÁTRIA VIAGENS, CONSULTORIA E SERVIÇOS LTDA ME;SIMPLES;MOVIMENTO MENSAL;06 - JUNHO;2025-07-23 00:00:00;CONTABIL PRONTO ATÉ 06/2025 / RYAN VAI VERIFICAR PARA TIRAR O PLANO DE SAÚDE DA CONTA SALARIOS E REMUNERAÇÕES A PAGAR;PABLO;;
750;AZO3 TECNOLOGIA LTDA;SIMPLES;MOVIMENTO MENSAL;06 - JUNHO;2025-07-25 00:00:00;AGUARDANDO VIRAR O MÊS;PABLO;;
917;BR REPRESENTACOES LTDA;SIMPLES;MOVIMENTO MENSAL;07 - JULHO;2025-08-19 00:00:00;INICIO 18/08/25 - COMP 02/2025, 03/2025, 04/2025, 05/2025, 06/2025,07/2025;TANIA;;
937;BRANCORP;SIMPLES;;01 - JANEIRO;;;;;
910;BRAVO TERRAPLANAGEM LTDA;SIMPLES;;01 - JANEIRO;;;;;
827;CAESARS CONSULTORIA & TECNOLOGIA DA INF;SIMPLES;;01 - JANEIRO;;;;;
491;CLÍNICA CLIMAD LTDA - Matriz;SIMPLES;;01 - JANEIRO;;;;;
491-3;CLÍNICA CLIMAD LTDA - Tangará;SIMPLES;;01 - JANEIRO;;;;;
491-4;CLÍNICA CLIMAD LTDA - Treze Tilías;SIMPLES;;01 - JANEIRO;;;;;
914;CLINICA DE MUSICOTERAPIA LUZENTE LTDA;SIMPLES;;01 - JANEIRO;;;;;
525;CLÍNICA MEDICA DR. MADEIRA EIRELI;SIMPLES;;01 - JANEIRO;;;;;
507;CLÍNICA MÉDICA TORRICO LTDA;SIMPLES;;01 - JANEIRO;;;;;
843;COMPACTERRA LOCAÇÃO DE MÁQUINAS LTDA;SIMPLES;;01 - JANEIRO;;;;;
942;CV DEDETIZADORA E CONTROLE DE PRAGAS URBANAS E RURAIS LTDAF;SIMPLES;;01 - JANEIRO;;;;;
974;DRALX ENGENHARIA LTDA;SIMPLES;;01 - JANEIRO;;;;;
859;E2R CONTABILIDADE E CONSULTORIA LTDA;SIMPLES;;01 - JANEIRO;;;;;
795;EDSON RISSI;SIMPLES;;07 - JULHO;2025-08-19 00:00:00;ENVIADO REL FORNECEDOR WHATS E COMENTADO SOBRE AS GUIAS EM ABERTO - NÃO TEM MOVIMENTO BANCÁRIO;TANIA;;
451-3;EMW - FILIAL HERVAL D´OESTE/SC;SIMPLES;;01 - JANEIRO;2025-08-19 00:00:00;21/08 terminado 06/2025;TANIA;;
451;EMW - TANGARÁ;SIMPLES;;01 - JANEIRO;;;;;
927;ESPAÇO VITAL ACADEMIA;SIMPLES;;01 - JANEIRO;;;;;
